algo,severity,crash_mean,crash_std,ret_mean,ret_std
ppo,1.0,0.0,0.0,483.8088666666667,0.12572248539274364
ppo,2.0,10.666666666666666,13.279056191361391,435.3708,59.2423042446021
ppo,3.0,48.333333333333336,17.61628034896508,260.0781,81.63718873626162
ppo,4.0,76.33333333333333,10.692676621563628,122.63023333333332,50.48452632107519
ppo,5.0,85.33333333333333,8.082903768654763,75.08016666666667,37.63710320432928
sac,1.0,0.0,0.0,483.2189333333333,0.6509320573864475
sac,2.0,0.3333333333333333,0.5773502691896258,478.18086666666665,1.5592371607081927
sac,3.0,8.0,2.0,425.73776666666663,7.765147844267566
sac,4.0,31.666666666666668,9.865765724632496,300.4615,35.27540817155771
sac,5.0,60.0,10.535653752852738,173.05686666666665,39.08398893208488
