policy,wind_mag,crash_mean,crash_std,spin_mean,spin_std,ret_mean,ret_std
A,0.02,0.0,0.0,0.0,0.0,482.2231,0.7292084955621321
A,0.05,8.333333333333334,3.5118845842842465,12.333333333333334,5.507570547286102,444.9076,7.274470360789151
A,0.08,51.666666666666664,10.503967504392486,24.666666666666668,1.154700538379251,316.7734,14.417593394530156
A,0.12,91.66666666666667,4.041451884327382,6.333333333333333,2.5166114784235836,191.98293333333334,9.71696960185292
A,0.15,97.66666666666667,1.5275252316519485,2.0,1.7320508075688772,150.06463333333332,5.833762036913504
B,0.02,0.0,0.0,0.0,0.0,483.4584,0.4407034036628188
B,0.05,0.0,0.0,0.0,0.0,483.37073333333336,0.42448795428532615
B,0.08,0.0,0.0,0.0,0.0,483.0063666666667,0.5227654381587769
B,0.12,6.0,2.0,14.333333333333334,3.7859388972001824,463.2760666666666,3.873802753539877
B,0.15,27.666666666666668,9.018499505645789,25.666666666666668,3.214550253664318,404.9422333333334,19.474357921721907
